EUR/USD,売,新規,1000,1.10200,1.10200,1.10200,,"2019/09/12 20:48:19","2019/09/12 22:45:16",119000000245647
EUR/JPY,売,新規,1000,118.580,118.580,118.580,,"2019/09/12 21:12:16","2019/09/12 22:44:01",119000000245757
EUR/USD,売,新規,1000,1.10000,1.10000,1.10000,,"2019/09/12 20:51:04","2019/09/12 22:43:40",119000000245704
EUR/JPY,売,新規,1000,118.340,118.340,118.340,,"2019/09/12 21:36:51","2019/09/12 22:25:19",119000000245855
EUR/USD,売,新規,1000,1.09800,1.09800,1.09800,,"2019/09/12 21:02:55","2019/09/12 22:25:18",119000000245734
EUR/USD,売,新規,1000,1.09600,1.09600,1.09600,,"2019/09/12 21:40:20","2019/09/12 22:14:12",119000000245889
EUR/USD,買,決済,1000,1.09400,1.09400,1.09400,+256,"2019/09/03 10:28:45","2019/09/12 21:40:20",119000000224142
USD/JPY,買,新規,1000,107.600,107.600,107.600,,"2019/09/12 16:17:35","2019/09/12 21:39:37",119000000244811
EUR/JPY,買,決済,1000,117.840,117.840,117.840,+501,"2019/09/09 10:47:44","2019/09/12 21:36:51",119000000237550
EUR/JPY,買,決済,1000,118.080,118.080,118.080,+501,"2019/09/02 22:08:05","2019/09/12 21:12:16",119000000223001
EUR/USD,買,決済,1000,1.09600,1.09600,1.09600,+253,"2019/09/02 22:10:17","2019/09/12 21:02:55",119000000223079
EUR/JPY,買,決済,1000,118.320,118.320,118.320,+500,"2019/09/02 22:08:05","2019/09/12 20:51:40",119000000222998
EUR/USD,買,決済,1000,1.09800,1.09800,1.09800,+253,"2019/09/02 22:10:17","2019/09/12 20:51:04",119000000223076
EUR/JPY,買,決済,1000,118.560,118.560,118.560,+500,"2019/09/11 19:58:54","2019/09/12 20:48:49",119000000242972
EUR/USD,買,決済,1000,1.10000,1.10000,1.10000,+215,"2019/09/11 20:53:35","2019/09/12 20:48:19",119000000242987
EUR/USD,買,決済,1000,1.10200,1.10200,1.10200,+215,"2019/09/11 19:09:44","2019/09/12 20:46:22",119000000242860
EUR/USD,買,決済,1000,1.10400,1.10400,1.10400,+215,"2019/09/10 17:11:26","2019/09/12 20:46:01",119000000240529
EUR/USD,売,新規,1000,1.10600,1.10600,1.10600,,"2019/09/10 17:11:26","2019/09/12 20:45:14",119000000240528
EUR/USD,売,新規,1000,1.10400,1.10400,1.10400,,"2019/09/11 19:09:44","2019/09/12 20:45:12",119000000242859
USD/JPY,売,決済,1000,107.800,107.794,107.794,+327,"2019/09/12 08:58:19","2019/09/12 17:45:59",119000000122808
EUR/USD,売,新規,1000,1.10200,1.10200,1.10200,,"2019/09/11 20:53:35","2019/09/12 17:04:37",119000000242986
USD/JPY,売,決済,1000,107.900,107.900,107.900,+733,"2019/09/11 13:04:12","2019/09/12 16:17:35",119000000075464
USD/JPY,売,決済,1000,107.900,107.900,107.900,+533,"2019/09/12 08:25:20","2019/09/12 16:17:35",119000000121310
USD/JPY,売,決済,1000,107.900,107.900,107.900,+333,"2019/09/12 12:49:48","2019/09/12 16:17:35",119000000136946
USD/JPY,売,決済,1000,107.900,107.900,107.900,+933,"2019/09/11 05:24:57","2019/09/12 16:17:35",119000000075472
USD/JPY,売,決済,1000,107.900,107.900,107.900,"+1,133","2019/09/10 08:57:49","2019/09/12 16:17:35",000020705535683
EUR/JPY,売,新規,1000,119.060,119.060,119.060,,"2019/09/11 19:58:54","2019/09/12 12:49:50",119000000242971
USD/JPY,売,新規,10000,108.000,108.000,108.000,,"2019/08/05 12:31:15","2019/09/12 08:58:19",119000000152316
